Opportunity ID,"Technology
Primary",Country,B2B Sales Medium,Sales Velocity,Opportunity Status,Sales Stage Iterations,Opportunity Size (USD),Client Revenue Sizing,Client Employee Sizing,Business from Client Last Year,Compete Intel,Opportunity Sizing
N00047588,ERP Implementation,United Kingdom,Enterprise Sellers,81,Lost,4,34422,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00018277,ERP Implementation,France,Marketing,63,Lost,2,49706,More than 1M,1K or less,0 (No business),Known,40K to 50K
N00045937,Technical Business Solutions,United Kingdom,Marketing,89,Lost,4,52745,More than 1M,1K or less,0 (No business),Known,50K to 60K
N00019314,ERP Implementation,Spain,Enterprise Sellers,63,Lost,2,5000,100K to 250K,5K to 15K,0 (No business),Unknown,10K or less
N00026608,ERP Implementation,Spain,Marketing,43,Lost,2,42522,100K or less,1K or less,"50,000 - 100,000",Unknown,40K to 50K
N00037554,ERP Implementation,France,Enterprise Sellers,16,Lost,3,39528,100K or less,1K or less,0 (No business),,30K to 40K
N00064265,Technical Business Solutions,United Kingdom,Marketing,21,Lost,3,55538,100K or less,1K or less,0 (No business),Unknown,50K to 60K
N00032141,ERP Implementation,Germany,Marketing,0,Lost,2,78721,100K or less,1K or less,0 (No business),Unknown,More than 60K
N00077797,Technical Business Solutions,Sweden,Marketing,0,Won,2,39551,100K or less,1K or less,"0 - 25,000",Unknown,30K to 40K
N00028749,Analytics,Spain,Enterprise Sellers,32,Lost,2,33189,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00010803,Technical Business Solutions,Spain,Enterprise Sellers,62,Lost,2,12500,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00046222,ERP Implementation,Netherlands,Enterprise Sellers,16,Lost,10,14902,100K to 250K,15K to 25K,0 (No business),Unknown,10K to 20K
N00017657,Technical Business Solutions,Spain,Enterprise Sellers,76,Lost,2,25000,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00042595,Technical Business Solutions,France,Marketing,15,Lost,2,19841,100K or less,1K or less,0 (No business),,10K to 20K
N00049190,Technical Business Solutions,Sweden,Enterprise Sellers,66,Lost,2,34676,250K to 500K,1K or less,0 (No business),Unknown,30K to 40K
N00002771,ERP Implementation,Germany,Marketing,61,Lost,3,34842,100K or less,5K to 15K,0 (No business),Unknown,30K to 40K
N00005113,Technical Business Solutions,Spain,Enterprise Sellers,24,Won,4,28864,500K to 1M,1K or less,0 (No business),Unknown,20K to 30K
N00026692,ERP Implementation,France,Tele Sales,28,Lost,2,51333,100K or less,1K or less,0 (No business),Unknown,50K to 60K
N00051071,ERP Implementation,United Kingdom,Marketing,45,Won,3,1000,100K or less,5K to 15K,0 (No business),Known,10K or less
N00074540,ERP Implementation,Italy,Enterprise Sellers,15,Lost,3,39182,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00016686,ERP Implementation,Spain,Marketing,73,Lost,2,26217,More than 1M,15K to 25K,0 (No business),Unknown,20K to 30K
N00057123,Technical Business Solutions,United Kingdom,Enterprise Sellers,62,Lost,2,10000,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00073340,ERP Implementation,Sweden,Enterprise Sellers,17,Lost,3,12618,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00068310,Technical Business Solutions,United Kingdom,Marketing,39,Lost,3,53837,100K or less,1K or less,"More than 100,000",Unknown,50K to 60K
N00057872,Technical Business Solutions,Italy,Enterprise Sellers,37,Won,5,34198,100K or less,1K to 5K,0 (No business),Unknown,30K to 40K
N00008272,Technical Business Solutions,Spain,Enterprise Sellers,89,Lost,2,11485,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00034770,ERP Implementation,France,Marketing,10,Lost,3,30545,100K or less,1K or less,0 (No business),,30K to 40K
N00003481,ERP Implementation,Germany,Marketing,89,Lost,2,33870,250K to 500K,5K to 15K,0 (No business),Unknown,30K to 40K
N00055858,ERP Implementation,Italy,Marketing,71,Lost,3,42049,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00030059,ERP Implementation,Spain,Enterprise Sellers,31,Lost,4,38491,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00000634,ERP Implementation,Germany,Enterprise Sellers,36,Lost,5,1973,100K or less,1K or less,0 (No business),Known,10K or less
N00056543,ERP Implementation,Netherlands,Enterprise Sellers,79,Lost,1,42239,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00057548,ERP Implementation,United Kingdom,Enterprise Sellers,62,Lost,3,16341,100K or less,More than 25K,0 (No business),Known,10K to 20K
N00001588,ERP Implementation,Germany,Marketing,91,Lost,3,26767,More than 1M,1K to 5K,0 (No business),Unknown,20K to 30K
N00073334,ERP Implementation,United Kingdom,Enterprise Sellers,27,Lost,2,36809,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00011316,ERP Implementation,Germany,Marketing,64,Lost,4,37040,500K to 1M,1K to 5K,"0 - 25,000",Known,30K to 40K
N00036578,Technical Business Solutions,Spain,Marketing,26,Lost,3,46682,100K or less,1K or less,0 (No business),Known,40K to 50K
N00061014,Technical Business Solutions,Netherlands,Enterprise Sellers,56,Won,4,2000,100K or less,More than 25K,0 (No business),Unknown,10K or less
N00002594,ERP Implementation,Spain,Marketing,85,Lost,3,49097,More than 1M,More than 25K,0 (No business),Known,40K to 50K
N00045644,ERP Implementation,France,Marketing,1,Won,2,9000,100K or less,1K or less,0 (No business),Unknown,10K or less
N00014880,ERP Implementation,Spain,Enterprise Sellers,44,Lost,2,30625,250K to 500K,15K to 25K,0 (No business),Unknown,30K to 40K
N00019717,ERP Implementation,France,Enterprise Sellers,44,Lost,2,15774,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00029893,ERP Implementation,France,Marketing,28,Lost,2,20514,100K or less,1K or less,0 (No business),,20K to 30K
N00054186,ERP Implementation,Italy,Enterprise Sellers,28,Lost,4,44276,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00017018,ERP Implementation,Spain,Marketing,73,Lost,2,48262,100K or less,1K to 5K,0 (No business),Unknown,40K to 50K
N00015132,ERP Implementation,Spain,Enterprise Sellers,81,Lost,2,25000,100K to 250K,1K to 5K,0 (No business),Unknown,20K to 30K
N00008031,ERP Implementation,Germany,Enterprise Sellers,87,Lost,2,37209,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00051232,Technical Business Solutions,Sweden,Enterprise Sellers,83,Lost,3,46319,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00054390,ERP Implementation,Netherlands,Marketing,82,Won,4,41962,100K or less,1K or less,"25,000 - 50,000",Known,40K to 50K
N00008562,Technical Business Solutions,Spain,Marketing,43,Won,4,63667,500K to 1M,1K or less,"More than 100,000",Known,More than 60K
N00047868,ERP Implementation,Netherlands,Marketing,86,Lost,3,31243,More than 1M,More than 25K,0 (No business),Known,30K to 40K
N00044302,ERP Implementation,Spain,Enterprise Sellers,4,Lost,3,16953,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00040106,Technical Business Solutions,Germany,Enterprise Sellers,9,Won,3,35161,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00032861,Technical Business Solutions,Germany,Marketing,26,Lost,7,23862,100K or less,1K or less,"0 - 25,000",Known,20K to 30K
N00023131,ERP Implementation,France,Tele Sales,51,Lost,2,45105,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00010211,ERP Implementation,Germany,Enterprise Sellers,84,Won,3,0,More than 1M,5K to 15K,0 (No business),Unknown,10K or less
N00028864,ERP Implementation,France,Marketing,47,Lost,2,33132,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00043421,Technical Business Solutions,Spain,Tele Sales,4,Won,3,0,100K or less,1K or less,0 (No business),Unknown,10K or less
N00076262,Technical Business Solutions,Italy,Marketing,6,Lost,4,30868,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00000184,ERP Implementation,France,Marketing,83,Lost,3,30718,250K to 500K,5K to 15K,"0 - 25,000",Known,30K to 40K
N00070142,Legacy Modernization,Italy,Marketing,35,Lost,2,57209,100K or less,1K or less,0 (No business),Unknown,50K to 60K
N00000345,Technical Business Solutions,France,Marketing,74,Won,4,51737,100K or less,5K to 15K,0 (No business),Known,50K to 60K
N00006885,ERP Implementation,France,Enterprise Sellers,44,Lost,2,15501,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00068377,Technical Business Solutions,Netherlands,Enterprise Sellers,16,Lost,3,35454,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00016460,ERP Implementation,Spain,Marketing,57,Lost,2,44250,More than 1M,More than 25K,"More than 100,000",Known,40K to 50K
N00036209,ERP Implementation,Spain,Marketing,23,Lost,3,17196,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00050538,Technical Business Solutions,Sweden,Enterprise Sellers,60,Lost,8,18000,More than 1M,5K to 15K,0 (No business),Known,10K to 20K
N00071333,Technical Business Solutions,Sweden,Marketing,16,Lost,2,24626,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00030210,ERP Implementation,Spain,Marketing,39,Lost,2,5000,100K or less,1K or less,0 (No business),Unknown,10K or less
N00041621,ERP Implementation,Spain,Tele Sales,11,Lost,2,13882,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00010386,Technical Business Solutions,France,Marketing,84,Lost,3,26957,100K or less,5K to 15K,0 (No business),Known,20K to 30K
N00047915,Technical Business Solutions,Italy,Marketing,63,Lost,9,46549,100K to 250K,1K or less,0 (No business),Unknown,40K to 50K
N00033562,ERP Implementation,Germany,Enterprise Sellers,37,Lost,4,31604,100K or less,1K or less,0 (No business),Known,30K to 40K
N00016147,ERP Implementation,France,Enterprise Sellers,47,Lost,2,26491,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00065995,ERP Implementation,United Kingdom,Enterprise Sellers,20,Won,3,25088,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00064573,ERP Implementation,Sweden,Marketing,45,Won,4,25394,100K or less,1K or less,"25,000 - 50,000",Unknown,20K to 30K
N00046126,ERP Implementation,Netherlands,Enterprise Sellers,53,Lost,4,47833,500K to 1M,5K to 15K,0 (No business),Unknown,40K to 50K
N00064274,ERP Implementation,Netherlands,Marketing,38,Lost,3,25000,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00068374,Technical Business Solutions,Netherlands,Enterprise Sellers,23,Won,2,25450,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00027900,ERP Implementation,Spain,Marketing,16,Lost,3,18000,100K or less,1K or less,0 (No business),Known,10K to 20K
N00045766,Technical Business Solutions,Italy,Enterprise Sellers,88,Won,5,416,100K or less,1K or less,0 (No business),Known,10K or less
N00049756,Technical Business Solutions,Netherlands,Marketing,85,Lost,3,49623,More than 1M,More than 25K,0 (No business),Known,40K to 50K
N00050521,Technical Business Solutions,Italy,Enterprise Sellers,36,Lost,3,34999,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00062940,ERP Implementation,United Kingdom,Enterprise Sellers,26,Lost,2,10000,100K or less,1K or less,0 (No business),Known,10K to 20K
N00046186,ERP Implementation,Netherlands,Enterprise Sellers,90,Lost,2,35899,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00060495,ERP Implementation,Netherlands,Marketing,61,Lost,3,2500,100K to 250K,15K to 25K,0 (No business),Unknown,10K or less
N00069149,Technical Business Solutions,Italy,Tele Sales,40,Lost,1,32868,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00001921,ERP Implementation,France,Marketing,91,Lost,2,49794,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00054555,Technical Business Solutions,United Kingdom,Enterprise Sellers,86,Lost,1,26929,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00066667,ERP Implementation,Italy,Marketing,44,Lost,2,40746,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00071522,Technical Business Solutions,United Kingdom,Marketing,20,Lost,4,0,100K or less,1K or less,0 (No business),Unknown,10K or less
N00028053,Technical Business Solutions,Spain,Marketing,0,Lost,2,42625,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00061698,Technical Business Solutions,United Kingdom,Marketing,37,Lost,3,48835,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00064203,ERP Implementation,Netherlands,Enterprise Sellers,18,Lost,2,39662,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00048978,ERP Implementation,Sweden,Marketing,89,Lost,2,51235,100K to 250K,1K or less,0 (No business),Unknown,50K to 60K
N00013942,ERP Implementation,Germany,Marketing,66,Lost,5,41379,250K to 500K,1K or less,0 (No business),Known,40K to 50K
N00027889,Technical Business Solutions,Spain,Marketing,46,Lost,3,41148,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00056744,ERP Implementation,Italy,Marketing,42,Won,4,42852,100K or less,1K or less,"More than 100,000",Unknown,40K to 50K
N00069063,ERP Implementation,Italy,Enterprise Sellers,16,Lost,4,4000,100K or less,1K or less,0 (No business),Unknown,10K or less
N00070803,ERP Implementation,United Kingdom,Enterprise Sellers,16,Lost,4,5000,100K or less,1K or less,0 (No business),Unknown,10K or less
N00030532,ERP Implementation,Germany,Enterprise Sellers,32,Lost,5,46408,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00034711,ERP Implementation,Spain,Partners,36,Lost,2,42609,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00064047,ERP Implementation,Sweden,Marketing,43,Won,3,38975,100K or less,1K or less,0 (No business),,30K to 40K
N00025343,ERP Implementation,Spain,Enterprise Sellers,48,Lost,2,14085,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00004589,ERP Implementation,Spain,Marketing,89,Lost,3,6000,More than 1M,5K to 15K,0 (No business),Known,10K or less
N00040529,ERP Implementation,Spain,Enterprise Sellers,7,Lost,2,34102,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00020538,Technical Business Solutions,Spain,Enterprise Sellers,68,Won,2,17214,More than 1M,1K to 5K,0 (No business),Unknown,10K to 20K
N00002649,Technical Business Solutions,Spain,Marketing,81,Lost,2,23175,100K or less,1K or less,0 (No business),Known,20K to 30K
N00012130,ERP Implementation,France,Tele Sales,81,Lost,3,5000,100K or less,1K or less,0 (No business),Unknown,10K or less
N00054167,ERP Implementation,Netherlands,Marketing,83,Lost,2,19174,More than 1M,1K to 5K,0 (No business),Unknown,10K to 20K
N00018000,ERP Implementation,France,Enterprise Sellers,72,Won,3,13951,More than 1M,More than 25K,0 (No business),Unknown,10K to 20K
N00072015,ERP Implementation,Italy,Enterprise Sellers,14,Lost,2,40863,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00073014,Technical Business Solutions,United Kingdom,Enterprise Sellers,12,Lost,2,25361,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00075154,ERP Implementation,Sweden,Marketing,19,Won,3,21920,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00019612,ERP Implementation,Spain,Marketing,66,Lost,2,1,100K or less,More than 25K,0 (No business),Unknown,10K or less
N00065539,Technical Business Solutions,Italy,Enterprise Sellers,16,Lost,6,39149,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00015431,ERP Implementation,France,Enterprise Sellers,57,Lost,4,5000,100K or less,1K or less,0 (No business),Unknown,10K or less
N00070055,ERP Implementation,Italy,Marketing,37,Lost,1,146086,100K or less,1K or less,0 (No business),Unknown,More than 60K
N00062757,Technical Business Solutions,Italy,Marketing,43,Lost,3,47355,100K or less,1K or less,0 (No business),Known,40K to 50K
N00066467,Technical Business Solutions,Netherlands,Tele Sales,16,Lost,2,25000,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00020368,ERP Implementation,France,Partners,39,Lost,3,41320,100K or less,1K or less,0 (No business),,40K to 50K
N00042485,Technical Business Solutions,France,Marketing,16,Won,1,121,100K or less,1K or less,0 (No business),,10K or less
N00012291,Technical Business Solutions,Spain,Marketing,53,Lost,4,138866,100K or less,More than 25K,0 (No business),Unknown,More than 60K
N00015531,ERP Implementation,Spain,Enterprise Sellers,48,Lost,2,2595,100K or less,1K or less,0 (No business),Unknown,10K or less
N00026879,ERP Implementation,Spain,Enterprise Sellers,35,Lost,2,9000,100K or less,1K or less,0 (No business),Unknown,10K or less
N00024968,ERP Implementation,France,Enterprise Sellers,35,Lost,3,11510,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00020664,ERP Implementation,Spain,Marketing,35,Lost,4,48634,100K or less,1K or less,0 (No business),Known,40K to 50K
N00053561,ERP Implementation,Sweden,Marketing,64,Lost,3,44774,More than 1M,1K or less,0 (No business),Unknown,40K to 50K
N00046301,ERP Implementation,Netherlands,Enterprise Sellers,79,Lost,5,26312,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00062615,ERP Implementation,Sweden,Marketing,50,Lost,2,10000,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00032608,ERP Implementation,Germany,Enterprise Sellers,16,Lost,3,41999,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00048295,ERP Implementation,United Kingdom,Enterprise Sellers,7,Lost,5,18092,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00041166,Technical Business Solutions,Spain,Enterprise Sellers,20,Lost,3,44700,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00070609,Technical Business Solutions,Sweden,Marketing,18,Lost,4,66812,100K or less,1K or less,0 (No business),,More than 60K
N00055225,ERP Implementation,Italy,Enterprise Sellers,84,Won,1,5300,500K to 1M,15K to 25K,0 (No business),Unknown,10K or less
N00057031,ERP Implementation,Italy,Enterprise Sellers,37,Lost,5,15000,100K to 250K,1K to 5K,0 (No business),Known,10K to 20K
N00005578,ERP Implementation,France,Marketing,86,Lost,2,25000,More than 1M,More than 25K,0 (No business),Unknown,20K to 30K
N00012490,ERP Implementation,Spain,Marketing,54,Lost,2,40391,100K or less,15K to 25K,0 (No business),Unknown,40K to 50K
N00027735,ERP Implementation,Germany,Enterprise Sellers,46,Lost,2,17105,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00030929,ERP Implementation,France,Enterprise Sellers,45,Lost,2,29000,100K or less,1K or less,0 (No business),,20K to 30K
