Technology,Country,B2B Sales Medium,Sales Velocity,Sales Stage Iterations,Opportunity Size (USD),Client Revenue Sizing,Client Employee Sizing,Business from Client Last Year,Compete Intel,Opportunity Sizing
Technical Business Solutions,United Kingdom,Marketing,39,3,53837,100K or less,1K or less,"More than 100,000",Unknown,50K to 60K
Technical Business Solutions,Italy,Enterprise Sellers,37,5,34198,100K or less,1K to 5K,0 (No business),Unknown,30K to 40K
Technical Business Solutions,Spain,Enterprise Sellers,89,2,11485,100K or less,1K or less,0 (No business),Unknown,10K to 20K
ERP Implementation,France,Marketing,10,3,30545,100K or less,1K or less,0 (No business),,30K to 40K
ERP Implementation,Germany,Marketing,89,2,33870,250K to 500K,5K to 15K,0 (No business),Unknown,30K to 40K
ERP Implementation,Italy,Marketing,71,3,42049,100K or less,1K or less,0 (No business),Unknown,40K to 50K
ERP Implementation,Spain,Enterprise Sellers,31,4,38491,100K or less,1K or less,0 (No business),Unknown,30K to 40K
ERP Implementation,Germany,Enterprise Sellers,36,5,1973,100K or less,1K or less,0 (No business),Known,10K or less
ERP Implementation,Netherlands,Enterprise Sellers,79,1,42239,100K or less,1K or less,0 (No business),Unknown,40K to 50K
ERP Implementation,United Kingdom,Enterprise Sellers,62,3,16341,100K or less,More than 25K,0 (No business),Known,10K to 20K
ERP Implementation,Germany,Marketing,91,3,26767,More than 1M,1K to 5K,0 (No business),Unknown,20K to 30K
ERP Implementation,United Kingdom,Enterprise Sellers,27,2,36809,100K or less,1K or less,0 (No business),Unknown,30K to 40K
ERP Implementation,Germany,Marketing,64,4,37040,500K to 1M,1K to 5K,"0 - 25,000",Known,30K to 40K
Technical Business Solutions,Spain,Marketing,26,3,46682,100K or less,1K or less,0 (No business),Known,40K to 50K
Technical Business Solutions,Netherlands,Enterprise Sellers,56,4,2000,100K or less,More than 25K,0 (No business),Unknown,10K or less
ERP Implementation,Spain,Marketing,85,3,49097,More than 1M,More than 25K,0 (No business),Known,40K to 50K
ERP Implementation,France,Marketing,1,2,9000,100K or less,1K or less,0 (No business),Unknown,10K or less
ERP Implementation,Spain,Enterprise Sellers,44,2,30625,250K to 500K,15K to 25K,0 (No business),Unknown,30K to 40K
ERP Implementation,France,Enterprise Sellers,44,2,15774,100K or less,1K or less,0 (No business),Unknown,10K to 20K
ERP Implementation,France,Marketing,28,2,20514,100K or less,1K or less,0 (No business),,20K to 30K
ERP Implementation,Italy,Enterprise Sellers,28,4,44276,100K or less,1K or less,0 (No business),Unknown,40K to 50K
ERP Implementation,Spain,Marketing,73,2,48262,100K or less,1K to 5K,0 (No business),Unknown,40K to 50K
ERP Implementation,Spain,Enterprise Sellers,81,2,25000,100K to 250K,1K to 5K,0 (No business),Unknown,20K to 30K
ERP Implementation,Germany,Enterprise Sellers,87,2,37209,100K or less,1K or less,0 (No business),Unknown,30K to 40K
Technical Business Solutions,Sweden,Enterprise Sellers,83,3,46319,100K or less,1K or less,0 (No business),Unknown,40K to 50K
ERP Implementation,Netherlands,Marketing,82,4,41962,100K or less,1K or less,"25,000 - 50,000",Known,40K to 50K
Technical Business Solutions,Spain,Marketing,43,4,63667,500K to 1M,1K or less,"More than 100,000",Known,More than 60K
ERP Implementation,Netherlands,Marketing,86,3,31243,More than 1M,More than 25K,0 (No business),Known,30K to 40K
ERP Implementation,Spain,Enterprise Sellers,4,3,16953,100K or less,1K or less,0 (No business),Unknown,10K to 20K
Technical Business Solutions,Germany,Enterprise Sellers,9,3,35161,100K or less,1K or less,0 (No business),Unknown,30K to 40K
Technical Business Solutions,Germany,Marketing,26,7,23862,100K or less,1K or less,"0 - 25,000",Known,20K to 30K
ERP Implementation,France,Tele Sales,51,2,45105,100K or less,1K or less,0 (No business),Unknown,40K to 50K
ERP Implementation,Germany,Enterprise Sellers,84,3,0,More than 1M,5K to 15K,0 (No business),Unknown,10K or less
ERP Implementation,France,Marketing,47,2,33132,100K or less,1K or less,0 (No business),Unknown,30K to 40K
Technical Business Solutions,Spain,Tele Sales,4,3,0,100K or less,1K or less,0 (No business),Unknown,10K or less
Technical Business Solutions,Italy,Marketing,6,4,30868,100K or less,1K or less,0 (No business),Unknown,30K to 40K
ERP Implementation,France,Marketing,83,3,30718,250K to 500K,5K to 15K,"0 - 25,000",Known,30K to 40K
Legacy Modernization,Italy,Marketing,35,2,57209,100K or less,1K or less,0 (No business),Unknown,50K to 60K
Technical Business Solutions,France,Marketing,74,4,51737,100K or less,5K to 15K,0 (No business),Known,50K to 60K
ERP Implementation,France,Enterprise Sellers,44,2,15501,100K or less,1K or less,0 (No business),Unknown,10K to 20K
Technical Business Solutions,Netherlands,Enterprise Sellers,16,3,35454,100K or less,1K or less,0 (No business),Unknown,30K to 40K
ERP Implementation,Spain,Marketing,57,2,44250,More than 1M,More than 25K,"More than 100,000",Known,40K to 50K
ERP Implementation,Spain,Marketing,23,3,17196,100K or less,1K or less,0 (No business),Unknown,10K to 20K
Technical Business Solutions,Sweden,Enterprise Sellers,60,8,18000,More than 1M,5K to 15K,0 (No business),Known,10K to 20K
Technical Business Solutions,Sweden,Marketing,16,2,24626,100K or less,1K or less,0 (No business),Unknown,20K to 30K
ERP Implementation,Spain,Marketing,39,2,5000,100K or less,1K or less,0 (No business),Unknown,10K or less
ERP Implementation,Spain,Tele Sales,11,2,13882,100K or less,1K or less,0 (No business),Unknown,10K to 20K
Technical Business Solutions,France,Marketing,84,3,26957,100K or less,5K to 15K,0 (No business),Known,20K to 30K
Technical Business Solutions,Italy,Marketing,63,9,46549,100K to 250K,1K or less,0 (No business),Unknown,40K to 50K
ERP Implementation,Germany,Enterprise Sellers,37,4,31604,100K or less,1K or less,0 (No business),Known,30K to 40K
ERP Implementation,France,Enterprise Sellers,47,2,26491,100K or less,1K or less,0 (No business),Unknown,20K to 30K
ERP Implementation,United Kingdom,Enterprise Sellers,20,3,25088,100K or less,1K or less,0 (No business),Unknown,20K to 30K
