,age,technology_primary,joined_through_referral,preferred_offer_types,last_visit_time,days_since_last_login,avg_time_spent,opportunity_size_usd,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn,last_visit_hour
90,16,1,0,1,2024-01-18 06:48:52,9,355.31,20457.22,1176,1233.77,1,1,1,3,1,0,6
91,25,3,1,2,2024-01-18 15:00:18,11,31.88,35414.54,586,788.67,0,1,0,1,3,0,15
92,62,3,0,0,2024-01-18 10:16:47,14,125.0,38802.24,619,697.62,0,1,1,4,3,1,10
93,24,1,1,2,2024-01-18 20:42:49,5,181.34,43554.96,527,728.69,1,0,1,3,5,0,20
94,48,1,1,1,2024-01-18 18:59:30,8,960.62,13954.02,561,631.15,0,1,1,2,6,1,18
95,56,1,1,0,2024-01-18 18:27:08,24,48.59,28071.04,559,533.05,0,1,1,2,7,1,18
96,17,1,1,0,2024-01-18 13:52:30,12,30.12,15027.14,552,697.62,0,1,0,1,3,1,13
97,23,1,1,2,2024-01-18 10:53:56,21,727.69,4919.72,554,758.83,1,1,0,1,0,0,10
98,42,1,0,1,2024-01-18 12:35:00,3,419.51,14661.42,1297,404.49,0,1,1,3,3,1,12
99,59,1,1,2,2024-01-18 00:41:03,8,899.04,49614.88,592,758.69,1,0,0,1,7,0,0
100,18,1,0,0,2024-01-18 05:19:35,11,293.42,2521.3,1297,964.84,1,0,1,0,6,1,5
101,23,1,1,0,2024-01-18 07:05:14,10,934.3542198,11955.94,594,630.8,0,1,1,4,6,1,7
102,52,3,1,0,2024-01-18 20:27:36,4,826.51,14877.24,597,522.61,1,0,0,1,6,1,20
103,49,1,1,1,2024-01-18 16:09:53,21,115.41,41156.81,611,741.02,0,1,0,1,6,0,16
104,30,0,0,1,2024-01-18 01:07:51,7,481.45,4207.45,619,776.36,1,1,0,1,6,0,1
105,31,1,0,1,2024-01-18 10:40:33,14,148.95,2364.45,1297,634.51,0,1,0,1,0,1,10
106,27,3,0,0,2024-01-18 19:13:01,21,357.45,29825.45,1295,665.63,0,1,1,2,7,1,19
107,56,1,0,2,2024-01-18 02:55:41,21,1386.232857,9454.17,565,778.27,1,0,0,1,0,0,2
108,11,1,0,0,2024-01-18 10:45:18,15,96.14,11995.93,565,207.17,1,0,0,1,6,1,10
109,31,1,0,0,2024-01-18 18:41:44,10,428.05,6325.08,619,80.09,0,1,0,1,1,1,18
110,29,1,0,1,2024-01-18 10:59:38,14,42.48,16098.94,589,766.85,1,0,1,2,7,0,10
111,31,3,1,2,2024-01-18 10:24:44,24,33.91,23226.43,1291,762.48,0,1,1,2,6,0,10
112,11,1,0,1,2024-01-18 12:23:20,8,1060.527979,10990.31,559,271.71,1,0,0,1,1,1,12
114,26,3,1,1,2024-01-18 09:43:15,7,187.91,17002.23,550,700.11,0,1,0,1,0,0,9
115,62,1,0,0,2024-01-18 04:35:00,10,284.09,48305.86,1297,730.05,0,1,0,1,7,0,4
118,23,1,0,1,2024-01-18 12:10:42,12,109.76,46102.66,1294,783.03,1,0,0,1,1,0,12
120,17,3,1,1,2024-01-18 22:48:57,21,81.15,46109.6,561,270.47,1,0,0,1,3,1,22
121,42,3,1,0,2024-01-18 16:48:16,10,1195.732666,31504.62,549,1207.25,1,0,0,1,6,0,16
122,21,0,0,0,2024-01-18 08:26:10,7,99.95,22865.42,589,697.62,0,1,0,1,3,0,8
123,46,3,1,0,2024-01-18 21:40:49,21,287.39,44809.68,611,629.6,0,1,0,1,1,1,21
125,61,3,0,1,2024-01-18 16:22:43,7,115.29,13019.31,556,164.07,1,0,1,3,1,1,16
126,15,1,0,1,2024-01-18 08:50:18,5,185.05,43833.54,558,743.57,0,1,0,1,1,0,8
127,56,1,1,0,2024-01-18 14:23:57,16,30.16,33886.44,1176,670.11,0,1,0,1,6,1,14
128,35,1,0,2,2024-01-18 23:40:39,17,219.13,70247.76,648,1293.17,1,1,0,1,2,0,23
129,57,3,1,0,2024-01-18 17:11:02,8,400.35,30248.45,1295,660.25,0,1,1,4,6,1,17
130,64,1,0,0,2024-01-18 20:56:30,20,49.24,39981.97,552,648.6,1,0,1,2,0,1,20
131,21,3,1,0,2024-01-18 11:52:02,16,590.85,21919.13,556,610.24,1,0,1,2,1,1,11
132,53,3,0,0,2024-01-18 16:36:42,22,1142.148835,34918.7,1282,699.08,1,0,1,3,7,1,16
133,26,1,1,0,2024-01-18 19:47:41,16,138.33,8025.77,632,1016.79,1,0,0,1,6,1,19
134,61,3,1,0,2024-01-18 23:11:54,7,516.46,45544.33,632,780.96,0,1,1,4,0,0,23
135,30,1,0,2,2024-01-18 01:15:19,19,211.19,2554.48,549,622.45,1,1,1,2,7,1,1
136,38,1,1,1,2024-01-18 00:12:11,19,942.84,49037.16,1282,697.62,0,1,0,1,3,0,0
137,35,3,0,2,2024-01-18 22:58:40,10,267.45,32922.76,1294,701.45,0,1,0,1,3,1,22
138,61,1,1,1,2024-01-18 20:14:13,22,34.37,3862.41,549,602.86,0,1,0,1,0,1,20
139,53,1,0,0,2024-01-18 01:28:39,19,213.34,8860.9,1282,671.74,1,0,1,2,7,1,1
140,55,0,0,0,2024-01-18 05:31:13,23,50.48,8944.54,597,626.96,1,0,1,4,6,1,5
141,23,3,1,0,2024-01-18 06:40:31,13,1044.243494,26060.01,591,684.88,1,0,1,2,7,1,6
143,22,0,0,1,2024-01-18 18:14:11,17,56.58,41050.72,558,697.62,1,0,1,2,7,1,18
144,37,3,1,1,2024-01-18 04:23:34,11,172.07,23587.32,619,326.13,1,0,0,1,7,1,4
145,31,1,0,0,2024-01-18 12:35:34,6,44.99,3087.16,1294,750.95,1,0,0,1,3,0,12
146,20,3,0,1,2024-01-18 03:36:18,11,144.33,54420.14,1176,697.62,0,1,0,1,2,0,3
147,53,1,1,2,2024-01-18 15:00:27,7,787.74,20129.88,552,697.62,1,0,1,3,4,0,15
148,38,0,0,1,2024-01-18 17:28:17,26,30.49,37139.89,586,627.26,1,0,0,1,6,1,17
149,59,1,0,2,2024-01-18 22:42:13,8,400.21,33996.1,876,697.6,1,1,0,1,1,1,22
150,50,3,1,0,2024-01-18 23:53:44,13,103.36,39610.89,549,653.12,1,0,1,2,6,1,23
151,64,3,0,0,2024-01-18 17:06:32,8,58.15,27995.24,564,697.62,1,0,0,1,1,0,17
152,27,3,1,0,2024-01-18 10:13:02,10,862.2,35895.98,589,697.62,0,1,0,1,3,1,10
153,12,1,0,2,2024-01-18 10:55:48,9,412.22,1313.11,564,733.13,1,1,0,1,5,0,10
154,29,3,1,1,2024-01-18 18:36:07,19,222.69,18297.21,567,774.47,0,1,1,0,5,0,18
155,39,3,0,1,2024-01-18 03:57:34,16,283.85,3888.65,564,959.92,1,0,0,1,5,0,3
156,37,1,0,0,2024-01-18 15:51:05,17,136.19,6965.48,1176,1181.87,1,0,0,1,0,0,15
157,37,3,0,1,2024-01-18 09:50:46,5,32.29,63097.55,113,780.09,0,1,0,1,2,0,9
158,21,1,0,1,2024-01-18 10:40:52,12,145.45,48500.63,550,727.97,0,1,1,2,6,0,10
159,64,3,0,0,2024-01-18 21:30:56,10,313.84,23211.35,558,573.16,1,0,0,1,1,1,21
160,56,3,0,2,2024-01-18 15:52:11,11,254.72,28425.26,550,789.3,1,1,0,1,3,0,15
161,37,1,0,1,2024-01-18 03:50:58,9,206.56,13037.39,554,616.68,1,0,1,3,0,1,3
162,55,3,0,1,2024-01-18 05:53:40,21,51.75,27564.76,594,660.59,0,1,0,1,0,1,5
163,18,3,1,2,2024-01-18 03:33:17,10,117.9,49537.82,1291,528.08,1,0,1,2,1,1,3
164,27,0,0,1,2024-01-18 03:23:24,2,484.45,83453.57,556,788.97,0,1,1,4,8,0,3
165,57,3,0,2,2024-01-18 04:12:57,6,32.89,16340.59,36,697.62,1,0,1,3,7,0,4
166,48,1,1,0,2024-01-18 00:35:46,15,77.18,49448.05,1176,605.23,0,1,1,0,1,1,0
167,54,1,0,0,2024-01-18 18:00:30,8,60.77,45095.33,532,692.59,1,0,0,1,1,1,18
168,52,3,0,2,2024-01-18 08:42:23,15,197.85,42084.72,564,710.7,0,1,0,1,6,0,8
169,33,1,1,2,2024-01-18 05:44:42,11,502.4,4714.82,594,472.8,1,0,0,1,7,0,5
170,35,3,1,0,2024-01-18 02:47:53,6,33.96,6175.77,591,545.14,1,0,0,1,1,1,2
171,42,1,0,2,2024-01-18 06:27:36,13,617.09,33226.66,561,1053.42,1,1,1,0,1,0,6
172,39,1,0,1,2024-01-18 20:50:56,9,34.93,42965.53,632,630.68,0,1,1,2,1,1,20
173,50,1,1,2,2024-01-18 14:22:39,20,198.19,20710.0,549,697.62,0,1,1,4,1,1,14
174,29,1,1,1,2024-01-18 22:58:44,11,317.25,17951.87,561,753.97,0,1,0,1,6,0,22
175,47,0,1,0,2024-01-18 07:26:31,5,876.87,41927.46,561,636.3,1,0,1,3,7,0,7
176,16,0,0,1,2024-01-18 22:54:48,8,133.36,21896.63,554,644.25,1,0,0,1,3,1,22
177,48,0,1,2,2024-01-18 06:44:05,8,522.81,27264.0,550,556.79,1,1,1,3,7,1,6
178,14,1,0,1,2024-01-18 18:22:33,10,33.34,46392.24,594,582.93,1,0,0,1,6,1,18
179,13,3,0,1,2024-01-18 06:53:31,5,84.05,10423.83,632,1044.82,0,1,1,0,3,0,6
180,56,1,1,2,2024-01-18 20:17:36,19,69.22,14117.54,552,523.54,0,1,1,3,7,1,20
181,64,1,0,1,2024-01-18 00:50:05,14,32.16,67458.29,136,764.62,1,0,1,3,2,0,0
182,47,1,1,1,2024-01-18 05:39:14,20,692.73,18404.11,565,1072.75,1,0,1,0,7,1,5
183,46,1,0,2,2024-01-18 12:24:01,12,261.76,15786.32,1297,704.13,0,1,0,1,1,0,12
184,45,3,1,0,2024-01-18 17:19:41,14,38.65,1225.14,1295,700.07,1,0,1,4,0,0,17
185,60,3,1,2,2024-01-18 13:12:57,16,182.16,43782.88,1297,761.49,0,1,1,3,2,0,13
186,19,3,1,2,2024-01-18 21:43:53,20,31.98,14432.03,594,730.04,1,0,1,2,6,0,21
187,21,0,0,0,2024-01-18 11:57:54,12,283.79,38527.24,603,760.53,1,0,1,0,3,0,11
188,60,1,0,0,2024-01-18 15:15:08,9,1185.91225,29872.64,1294,744.29,1,0,1,3,6,0,15
189,32,3,0,0,2024-01-18 08:07:36,17,329.16,37811.56,611,757.14,0,1,1,4,7,0,8
190,36,1,1,1,2024-01-18 11:59:47,7,700.63,26571.36,554,738.84,1,1,0,1,5,0,11
191,52,3,0,1,2024-01-18 05:10:18,3,166.57,45964.8,561,630.0,1,0,1,0,0,1,5
192,39,3,1,2,2024-01-18 12:04:43,12,126.05,43632.02,559,594.51,1,0,0,1,7,1,12
193,42,1,0,1,2024-01-18 21:19:08,11,428.35,26483.73,556,713.42,0,1,0,1,3,0,21
194,56,0,1,0,2024-01-18 09:14:11,16,148.06,15456.63,632,984.33,0,1,1,3,3,1,9
195,17,1,0,0,2024-01-18 17:08:48,15,196.56,1246.57,591,766.76,1,0,1,3,3,0,17
196,56,1,0,2,2024-01-18 15:15:00,10,359.98,38699.34,632,560.14,0,1,1,0,6,0,15
197,33,1,0,0,2024-01-18 22:23:29,22,32.47,25468.76,1297,298.87,0,1,0,1,6,0,22
198,33,3,0,2,2024-01-18 21:57:40,22,177.73,35286.1,1297,709.01,1,0,1,0,7,1,21
199,41,3,0,1,2024-01-18 05:58:17,9,493.22,20294.0,592,697.62,1,0,0,1,7,1,5
200,42,0,0,1,2024-01-18 15:40:49,4,316.14,13516.16,586,659.85,0,1,1,2,1,1,15
201,43,1,1,1,2024-01-18 10:21:20,19,107.18,16027.34,919,1059.64,0,1,1,2,2,0,10
202,12,0,1,1,2024-01-18 00:11:54,22,108.2,2998.4,603,678.14,1,0,1,0,0,1,0
204,14,1,0,1,2024-01-18 20:13:47,5,407.97,19138.74,552,697.62,0,1,0,1,7,1,20
205,62,3,1,2,2024-01-18 23:01:03,6,308.28,38497.78,589,792.37,1,0,1,4,0,0,23
206,60,1,0,1,2024-01-18 21:15:26,7,67.78,14175.2,1297,464.5,0,1,1,3,6,1,21
207,56,1,1,2,2024-01-18 02:08:29,5,732.71,47547.72,558,936.36,1,1,1,4,1,1,2
208,41,1,1,1,2024-01-18 13:58:51,22,188.96,40428.78,592,614.25,0,1,1,3,0,1,13
209,18,1,0,2,2024-01-18 15:41:22,21,32.82,46250.9,567,779.89,1,0,0,1,2,0,15
210,63,1,1,0,2024-01-18 22:19:51,17,1099.5,95625.4,554,697.62,0,1,0,1,4,0,22
211,23,1,1,2,2024-01-18 08:16:00,15,547.87,36383.39,919,763.15,0,1,1,2,5,0,8
212,17,1,1,0,2024-01-18 04:38:03,14,80.4,15214.2,559,761.95,1,0,0,1,3,0,4
214,31,1,0,2,2024-01-18 18:56:15,10,731.24,36981.7,603,774.16,0,1,1,4,6,0,18
215,12,0,0,0,2024-01-18 07:15:44,13,49.19,35209.09,549,799.43,0,1,1,0,4,0,7
216,63,3,0,1,2024-01-18 14:38:00,15,30.66,15079.52,592,469.57,1,0,0,1,0,0,14
217,16,1,0,1,2024-01-18 01:19:35,7,34.49,31418.7,1297,770.66,1,0,1,4,1,0,1
218,38,1,1,2,2024-01-18 14:27:08,17,117.11,29114.92,1297,521.7,0,1,1,0,0,1,14
221,64,1,0,1,2024-01-18 22:40:06,10,445.01,37220.97,1297,550.13,0,1,1,2,7,1,22
222,59,3,1,0,2024-01-18 05:25:51,10,628.79,40093.14,1274,622.06,0,1,0,1,6,1,5
223,23,1,0,1,2024-01-18 06:35:32,11,31.45,18606.73,594,621.94,0,1,0,1,1,1,6
224,32,3,0,2,2024-01-18 09:31:02,24,38.88,41019.89,565,750.83,0,1,1,2,4,0,9
225,11,3,1,1,2024-01-18 03:24:09,12,85.52,10636.13,1176,730.02,0,1,0,1,0,0,3
226,42,0,1,0,2024-01-18 21:51:05,22,1097.82189,27380.8,611,799.91,0,1,1,3,1,0,21
227,12,1,0,2,2024-01-18 21:24:47,8,322.3,14310.09,550,559.25,1,0,0,1,1,1,21
228,45,0,1,1,2024-01-18 00:36:22,13,31.2,37295.99,597,1196.6,0,1,0,1,0,0,0
229,19,3,1,2,2024-01-18 09:32:13,11,38.63,23832.38,1297,697.62,0,1,1,2,1,0,9
230,55,3,0,2,2024-01-18 11:24:45,12,291.94,97643.81,1176,713.99,1,1,0,1,2,0,11
232,56,3,0,1,2024-01-18 21:38:24,19,180.37,21460.83,611,240.16,1,0,0,1,6,0,21
233,24,0,1,1,2024-01-18 18:48:58,23,31.81,36494.51,594,622.69,0,1,0,1,6,1,18
234,24,3,0,2,2024-01-18 04:44:07,12,31.86,21842.03,565,743.44,0,1,0,1,0,0,4
235,53,0,0,0,2024-01-18 12:27:16,5,428.81,40698.54,1295,600.39,0,1,1,3,7,1,12
236,12,0,0,0,2024-01-18 03:00:30,17,97.85,31574.54,619,697.62,0,1,0,1,7,1,3
237,58,1,0,2,2024-01-18 21:35:10,19,1223.769011,47756.12,558,631.09,1,0,0,1,3,1,21
238,63,3,1,0,2024-01-18 11:08:03,15,1090.92,12483.66,567,705.75,1,1,1,3,4,0,11
239,62,3,0,1,2024-01-18 16:25:44,13,402.05,20411.69,558,517.35,1,0,0,1,5,0,16
240,48,1,1,1,2024-01-18 19:26:49,2,33.18,24394.24,559,1042.09,0,1,1,0,1,0,19
241,60,3,0,1,2024-01-18 15:30:02,9,54.08,19078.81,561,752.88,1,0,1,2,7,0,15
243,11,3,0,1,2024-01-18 13:03:40,5,106.24,47511.49,550,559.8,1,0,0,1,6,1,13
244,39,1,0,1,2024-01-18 06:32:47,15,46.22,35937.37,1282,697.62,1,0,0,1,0,1,6
245,52,0,0,2,2024-01-18 00:11:39,15,45.45,47218.23,632,632.14,0,1,0,1,0,1,0
246,54,3,1,1,2024-01-18 13:20:56,2,67.48,47619.23,549,754.69,0,1,0,1,4,0,13
247,12,3,1,0,2024-01-18 05:27:10,2,226.47,27477.44,559,748.61,1,0,0,1,6,0,5
248,49,3,1,0,2024-01-18 20:54:58,9,714.55,10779.16,592,734.08,1,0,0,1,6,0,20
249,23,1,0,2,2024-01-18 20:24:42,16,125.89,77291.02,527,1085.77,1,0,1,2,8,0,20
250,62,3,1,0,2024-01-18 23:20:07,17,112.9,20038.77,552,274.32,0,1,0,1,1,1,23
251,45,3,0,0,2024-01-18 18:54:56,19,105.91,46063.59,1282,761.41,1,0,1,0,0,0,18
252,17,3,1,2,2024-01-18 11:52:48,9,154.43,11333.18,564,740.91,1,0,0,1,0,0,11
253,22,1,0,2,2024-01-18 08:34:51,10,589.12,36545.91,552,680.88,1,0,1,4,6,1,8
254,38,1,0,1,2024-01-18 22:28:39,17,174.48,40594.31,1297,615.71,0,1,1,3,3,1,22
255,28,3,1,2,2024-01-18 15:28:01,16,43.58,23397.98,1294,759.48,1,0,0,1,6,0,15
256,39,1,0,0,2024-01-18 07:55:58,9,32.91,11023.03,1297,208.9,0,1,0,1,0,0,7
257,61,1,1,1,2024-01-18 07:31:27,20,100.33,34614.42,558,642.93,0,1,1,3,3,1,7
258,64,1,0,1,2024-01-18 12:07:21,11,449.03,33430.37,556,435.95,0,1,1,2,4,0,12
259,37,3,1,2,2024-01-18 02:16:31,7,43.78,17353.48,589,282.36,1,0,0,1,6,1,2
260,48,1,0,0,2024-01-18 07:38:43,13,188.21,7375.39,559,664.98,0,1,0,1,3,1,7
261,54,3,1,1,2024-01-18 00:15:38,10,32.13,35792.72,611,697.62,1,0,1,2,6,0,0
262,34,1,0,0,2024-01-18 04:00:11,19,154.58,3612.98,594,697.62,1,0,1,2,6,0,4
263,50,0,1,1,2024-01-18 14:10:05,11,145.59,13518.27,552,740.22,1,0,0,1,6,0,14
264,20,1,1,0,2024-01-18 07:30:43,14,233.72,15596.42,556,780.92,1,0,0,1,7,0,7
265,27,1,1,0,2024-01-18 10:58:35,15,304.09,32189.63,1291,549.41,0,1,1,0,0,1,10
266,14,0,0,0,2024-01-18 13:34:16,14,163.99,27114.49,632,583.06,0,1,1,3,3,1,13
267,32,1,1,0,2024-01-18 05:33:20,8,255.4,13608.16,559,524.52,1,1,1,2,7,1,5
268,55,1,0,0,2024-01-18 17:15:17,12,488.0,20417.72,549,656.21,0,1,0,1,7,1,17
269,21,3,0,1,2024-01-18 23:58:49,13,39.62,46139.37,559,673.05,1,0,0,1,6,1,23
270,12,1,1,1,2024-01-18 13:09:11,17,110.59,12478.19,589,671.23,0,1,1,2,6,1,13
271,58,1,1,2,2024-01-18 06:02:07,6,1600.12,15610.96,554,725.74,0,1,1,3,7,0,6
272,23,3,0,0,2024-01-18 22:44:19,9,54.12,24610.29,549,653.38,0,1,1,3,6,1,22
